Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
145,2.5400000e+00,2.9347828e-01,1.6484243e+00,-4.9343305e-03,2.7683633e-03,2.5341377e-02,2.5965301e-02
146,2.5400000e+00,2.9347828e-01,1.5558182e+00,-6.2862262e-03,1.7898495e-03,2.6795350e-02,2.7580990e-02
147,2.5400000e+00,2.9347828e-01,1.4632121e+00,-6.8624183e-03,8.8493672e-04,2.9353915e-02,3.0158386e-02
148,2.5400000e+00,2.9347828e-01,1.3706061e+00,-7.5618024e-03,6.4856600e-04,2.8536728e-02,2.9528737e-02
149,2.5400000e+00,2.9347828e-01,1.2780000e+00,-8.5477559e-03,-1.5514734e-04,2.9463427e-02,3.0678686e-02
150,2.5400000e+00,2.9347828e-01,1.1853939e+00,-9.2540607e-03,-1.2205986e-03,3.3270229e-02,3.4554821e-02
151,2.5400000e+00,2.9347828e-01,1.0927879e+00,-1.0034204e-02,-2.0793821e-03,3.2681271e-02,3.4250177e-02
152,2.5400000e+00,2.9347828e-01,1.0001818e+00,-1.1691472e-02,-3.3452571e-03,3.0421253e-02,3.2761775e-02
153,2.5400000e+00,2.9347828e-01,9.0757573e-01,-1.3855580e-02,-4.1920142e-03,2.9257376e-02,3.2642674e-02
154,2.5400000e+00,2.9347828e-01,8.1496978e-01,-1.5961308e-02,-4.4978522e-03,2.7612990e-02,3.2209799e-02
155,2.5400000e+00,2.9347828e-01,7.2236371e-01,-1.9498389e-02,-6.4759729e-03,2.3692528e-02,3.1360187e-02
156,2.5400000e+00,2.9347828e-01,6.2975764e-01,-2.3256818e-02,-8.5492656e-03,1.8707780e-02,3.1047553e-02
157,2.5400000e+00,2.9347828e-01,5.3715158e-01,-2.7379824e-02,-9.3728164e-03,1.2878791e-02,3.1675979e-02
158,2.5400000e+00,2.9347828e-01,4.4454551e-01,-3.0446550e-02,-9.5797023e-03,7.8164171e-03,3.2861214e-02
159,2.5400000e+00,2.9347828e-01,3.5193944e-01,-2.8973123e-02,-6.2688678e-03,6.4437222e-03,3.0335823e-02
160,2.5400000e+00,2.9347828e-01,2.5933337e-01,-1.9756341e-03,-1.9921456e-03,-3.6302819e-03,4.5881066e-03
161,2.5400000e+00,2.9347828e-01,1.6672730e-01,3.3114694e-02,1.4383135e-02,-1.8667655e-02,4.0644050e-02
162,2.5400000e+00,2.9347828e-01,7.4121237e-02,6.5470353e-02,5.5597380e-02,-3.5907280e-02,9.3095481e-02
163,2.5400000e+00,2.9347828e-01,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
164,2.5400000e+00,2.9347828e-01,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
165,2.5400000e+00,2.9347828e-01,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
166,2.5400000e+00,3.8478264e-01,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
167,2.5400000e+00,3.8478264e-01,2.6670909e+00,1.5736901e-03,7.1359100e-03,4.0611485e-03,8.3600618e-03
168,2.5400000e+00,3.8478264e-01,2.5744848e+00,-1.0158222e-04,6.7436146e-03,6.4231148e-03,9.3135955e-03
169,2.5400000e+00,3.8478264e-01,2.4818788e+00,2.1952842e-03,6.1392225e-03,6.4363675e-03,9.1616679e-03
170,2.5400000e+00,3.8478264e-01,2.3892727e+00,5.3309598e-03,5.6376318e-03,5.7358244e-03,9.6489219e-03
171,2.5400000e+00,3.8478264e-01,2.2966666e+00,6.7313015e-03,5.9870775e-03,8.6603817e-03,1.2496309e-02
172,2.5400000e+00,3.8478264e-01,2.2040606e+00,6.1400239e-03,6.5733050e-03,1.2283098e-02,1.5224412e-02
173,2.5400000e+00,3.8478264e-01,2.1114545e+00,5.1316055e-03,6.6180397e-03,1.6612187e-02,1.8603671e-02
174,2.5400000e+00,3.8478264e-01,2.0188484e+00,3.3396916e-03,6.5665692e-03,2.0945005e-02,2.2202851e-02
