Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
133,2.8999999e+00,2.8900001e+00,2.5744848e+00,8.5895464e-02,-3.6854599e-02,2.3938201e-02,9.6484862e-02
134,2.9923077e+00,2.8900001e+00,2.5744848e+00,8.7346755e-02,-3.3930868e-02,2.0323930e-02,9.5884413e-02
135,3.0846152e+00,2.8900001e+00,2.5744848e+00,8.5671417e-02,-3.2951258e-02,1.3578555e-02,9.2788763e-02
136,3.1769230e+00,2.8900001e+00,2.5744848e+00,8.4472999e-02,-3.0823143e-02,9.6662296e-03,9.0438873e-02
137,3.2692306e+00,2.8900001e+00,2.5744848e+00,8.1616879e-02,-2.8876938e-02,8.8113314e-03,8.7022021e-02
138,3.3615384e+00,2.8900001e+00,2.5744848e+00,7.8287445e-02,-2.8257623e-02,5.1540905e-03,8.3390534e-02
139,3.4538460e+00,2.8900001e+00,2.5744848e+00,7.5803638e-02,-2.7495777e-02,1.8535989e-03,8.0657579e-02
140,3.5461538e+00,2.8900001e+00,2.5744848e+00,7.2041705e-02,-2.5220886e-02,-1.2749105e-04,7.6329008e-02
141,3.6384614e+00,2.8900001e+00,2.5744848e+00,6.7745849e-02,-2.4913711e-02,1.8675759e-03,7.2205819e-02
142,3.7307692e+00,2.8900001e+00,2.5744848e+00,6.4584620e-02,-2.4930608e-02,2.7479313e-04,6.9229938e-02
143,3.8230767e+00,2.8900001e+00,2.5744848e+00,6.0272448e-02,-2.4583850e-02,-2.9312409e-03,6.5159239e-02
144,3.9153843e+00,2.8900001e+00,2.5744848e+00,5.4641556e-02,-2.5705749e-02,-6.5012407e-03,6.0735092e-02
145,4.0076923e+00,2.8900001e+00,2.5744848e+00,5.5507924e-02,-2.8472826e-02,-1.0656397e-02,6.3288152e-02
146,4.0999999e+00,2.8900001e+00,2.5744848e+00,5.7263799e-02,-3.2269347e-02,-1.3992921e-02,6.7203090e-02
147,4.1923075e+00,2.8900001e+00,2.5744848e+00,5.9292696e-02,-3.4920204e-02,-2.1070901e-02,7.1965456e-02
148,4.2846150e+00,2.8900001e+00,2.5744848e+00,8.2794845e-02,-3.2897990e-02,-3.0817363e-02,9.4270743e-02
149,4.3769231e+00,2.8900001e+00,2.5744848e+00,1.1491443e-01,-2.0827811e-02,-9.9597387e-03,1.1721058e-01
150,4.4692307e+00,2.8900001e+00,2.5744848e+00,1.1735366e-01,-1.6125843e-02,1.4736250e-03,1.1846559e-01
151,4.5615382e+00,2.8900001e+00,2.5744848e+00,1.5691450e-01,-1.7384350e-02,2.1760600e-02,1.5936719e-01
152,4.6538458e+00,2.8900001e+00,2.5744848e+00,1.9856592e-01,-1.8456621e-02,6.1798938e-02,2.0877783e-01
153,-5.3846151e-02,2.8900001e+00,2.4818788e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
154,3.8461536e-02,2.8900001e+00,2.4818788e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
155,1.3076922e-01,2.8900001e+00,2.4818788e+00,-5.3663915e-03,-4.1245759e-02,-4.0294707e-02,5.7910915e-02
156,2.2307691e-01,2.8900001e+00,2.4818788e+00,-1.6911730e-02,-3.9340828e-02,-2.5632640e-02,4.9907308e-02
157,3.1538460e-01,2.8900001e+00,2.4818788e+00,-2.7105944e-02,-3.5923250e-02,-1.6409507e-02,4.7900774e-02
158,4.0769228e-01,2.8900001e+00,2.4818788e+00,-3.2233283e-02,-3.0542985e-02,-1.2860969e-02,4.6230543e-02
159,4.9999997e-01,2.8900001e+00,2.4818788e+00,-3.6367979e-02,-2.5916588e-02,-1.0545377e-02,4.5885775e-02
160,5.9230769e-01,2.8900001e+00,2.4818788e+00,-4.1448880e-02,-2.2983959e-02,-9.1290101e-03,4.8266042e-02
161,6.8461537e-01,2.8900001e+00,2.4818788e+00,-4.6955749e-02,-1.9914225e-02,-8.0722524e-03,5.1638938e-02
162,7.7692306e-01,2.8900001e+00,2.4818788e+00,-5.1675867e-02,-1.7076287e-02,-6.1228001e-03,5.4767542e-02
163,8.6923075e-01,2.8900001e+00,2.4818788e+00,-5.4675929e-02,-1.5901612e-02,-1.5711142e-03,5.6963030e-02
164,9.6153843e-01,2.8900001e+00,2.4818788e+00,-5.7693690e-02,-1.4814597e-02,9.4230182e-04,5.9572831e-02
165,1.0538461e+00,2.8900001e+00,2.4818788e+00,-6.0170442e-02,-1.4900541e-02,2.6520784e-03,6.2044676e-02
166,1.1461538e+00,2.8900001e+00,2.4818788e+00,-6.2620729e-02,-1.4305694e-02,9.6190078e-03,6.4950243e-02
167,1.2384615e+00,2.8900001e+00,2.4818788e+00,-6.5297544e-02,-1.3404761e-02,1.7413815e-02,6.8896286e-02
168,1.3307692e+00,2.8900001e+00,2.4818788e+00,-6.7503288e-02,-1.3336514e-02,2.2580590e-02,7.2418503e-02
169,1.4230769e+00,2.8900001e+00,2.4818788e+00,-6.8334892e-02,-1.4729749e-02,3.0842971e-02,7.6406226e-02
170,1.5153846e+00,2.8900001e+00,2.4818788e+00,-6.6858560e-02,-1.5370162e-02,4.3497950e-02,8.1230417e-02
171,1.6076922e+00,2.8900001e+00,2.4818788e+00,-6.5315470e-02,-1.6288340e-02,5.4518577e-02,8.6623877e-02
172,1.6999999e+00,2.8900001e+00,2.4818788e+00,-6.2719330e-02,-1.9747486e-02,6.4109832e-02,9.1835439e-02
173,1.7923076e+00,2.8900001e+00,2.4818788e+00,-5.3515721e-02,-2.1875165e-02,8.3774060e-02,1.0178678e-01
174,1.8846153e+00,2.8900001e+00,2.4818788e+00,-4.3344475e-02,-2.3550609e-02,1.0105756e-01,1.1245446e-01
175,1.9769229e+00,2.8900001e+00,2.4818788e+00,-3.3740867e-02,-2.6311854e-02,1.1239531e-01,1.2026414e-01
176,2.0692308e+00,2.8900001e+00,2.4818788e+00,-2.0619467e-02,-3.0079490e-02,1.2029707e-01,1.2570332e-01
177,2.1615384e+00,2.8900001e+00,2.4818788e+00,-4.7477521e-04,-3.2393586e-02,1.2449061e-01,1.2863702e-01
178,2.2538462e+00,2.8900001e+00,2.4818788e+00,1.7041726e-02,-3.4102928e-02,1.2596792e-01,1.3161059e-01
179,2.3461537e+00,2.8900001e+00,2.4818788e+00,2.9198859e-02,-3.5283867e-02,1.1941148e-01,1.2789302e-01
180,2.4384615e+00,2.8900001e+00,2.4818788e+00,3.9626092e-02,-3.5135530e-02,9.8539710e-02,1.1186960e-01
181,2.5307691e+00,2.8900001e+00,2.4818788e+00,4.9851857e-02,-3.4279976e-02,7.9414666e-02,9.9834934e-02
182,2.6230769e+00,2.8900001e+00,2.4818788e+00,5.8909938e-02,-3.0612543e-02,6.8101980e-02,9.5107250e-02
183,2.7153845e+00,2.8900001e+00,2.4818788e+00,6.2650658e-02,-2.9036615e-02,5.4531999e-02,8.7988459e-02
184,2.8076923e+00,2.8900001e+00,2.4818788e+00,6.5757439e-02,-2.7434487e-02,4.0050790e-02,8.1735902e-02
185,2.8999999e+00,2.8900001e+00,2.4818788e+00,6.9519334e-02,-2.4915429e-02,3.0397179e-02,7.9860531e-02
186,2.9923077e+00,2.8900001e+00,2.4818788e+00,6.8210796e-02,-2.4566051e-02,2.4829432e-02,7.6633573e-02
187,3.0846152e+00,2.8900001e+00,2.4818788e+00,6.6319630e-02,-2.3738798e-02,1.8124018e-02,7.2734475e-02
188,3.1769230e+00,2.8900001e+00,2.4818788e+00,6.4983070e-02,-2.1894269e-02,1.3305245e-02,6.9851190e-02
189,3.2692306e+00,2.8900001e+00,2.4818788e+00,6.2995680e-02,-2.0293154e-02,1.0533329e-02,6.7016557e-02
190,3.3615384e+00,2.8900001e+00,2.4818788e+00,5.9745677e-02,-1.9886674e-02,6.5207696e-03,6.3305184e-02
191,3.4538460e+00,2.8900001e+00,2.4818788e+00,5.7325259e-02,-1.9218471e-02,2.3000990e-03,6.0504753e-02
192,3.5461538e+00,2.8900001e+00,2.4818788e+00,5.5400729e-02,-1.8643372e-02,-1.6794851e-04,5.8453780e-02
193,3.6384614e+00,2.8900001e+00,2.4818788e+00,5.2411642e-02,-1.9263506e-02,-1.1462505e-03,5.5851381e-02
194,3.7307692e+00,2.8900001e+00,2.4818788e+00,4.9528435e-02,-1.9486273e-02,-2.1996344e-03,5.3269308e-02
195,3.8230767e+00,2.8900001e+00,2.4818788e+00,4.7438473e-02,-2.0622276e-02,-4.0528821e-03,5.1885571e-02
196,3.9153843e+00,2.8900001e+00,2.4818788e+00,4.6440497e-02,-2.3912732e-02,-6.3377433e-03,5.2618492e-02
197,4.0076923e+00,2.8900001e+00,2.4818788e+00,4.6715934e-02,-2.6923086e-02,-8.9401528e-03,5.4654893e-02
198,4.0999999e+00,2.8900001e+00,2.4818788e+00,5.4170832e-02,-2.9961489e-02,-1.2064748e-02,6.3069232e-02
199,4.1923075e+00,2.8900001e+00,2.4818788e+00,6.5272897e-02,-3.2382127e-02,-9.9137696e-03,7.3535271e-02
200,4.2846150e+00,2.8900001e+00,2.4818788e+00,9.1547728e-02,-3.0792141e-02,-5.2567595e-03,9.6730433e-02
201,4.3769231e+00,2.8900001e+00,2.4818788e+00,1.1607313e-01,-2.3787798e-02,-2.4160267e-04,1.1848582e-01
202,4.4692307e+00,2.8900001e+00,2.4818788e+00,1.2338711e-01,-1.9733211e-02,9.7429603e-03,1.2533437e-01
203,4.5615382e+00,2.8900001e+00,2.4818788e+00,1.2923846e-01,-1.6561596e-02,3.5418138e-02,1.3502337e-01
204,4.6538458e+00,2.8900001e+00,2.4818788e+00,9.9551290e-02,-8.4078815e-03,8.2562730e-02,1.2960616e-01
205,-5.3846151e-02,2.8900001e+00,2.3892727e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
206,3.8461536e-02,2.8900001e+00,2.3892727e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
