Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
182,19,19,0.277014,0.163321,0.0333631,0.0868256,21.195,0.167987,0.0718923,0
183,19,19,0.276993,0.163313,0.0333521,0.0868256,21.195,0.167505,0.0704929,0
184,19,19,0.276971,0.163306,0.0333429,0.0868256,21.195,0.167087,0.0692764,0
185,19,19,0.276949,0.163299,0.033335,0.0868256,21.195,0.166767,0.0686808,0
186,19,19,0.276928,0.163293,0.0333282,0.0868256,21.195,0.166483,0.068177,0
187,19,19,0.276908,0.163288,0.0333221,0.0868256,21.195,0.166247,0.0673524,0
188,19,19,0.27689,0.163285,0.0333168,0.0868256,21.195,0.166039,0.0720112,0
189,19,19,0.276874,0.163282,0.033312,0.0868256,21.195,0.165852,0.0773233,0
190,19,19,0.276894,0.163447,0.0333541,0.0868093,21.195,0.16584,0.07731,0
191,20,20,0.27679,0.163347,0.0330894,0.0868093,21.195,0.16341,0.0757284,0
192,20,20,0.276761,0.163325,0.033078,0.0868093,21.195,0.16275,0.0711137,0
193,20,20,0.276741,0.16332,0.0330699,0.0868093,21.195,0.16227,0.0681852,0
194,20,20,0.276722,0.163314,0.0330628,0.0868093,21.195,0.161908,0.0671695,0
195,20,20,0.276704,0.163308,0.0330564,0.0868093,21.195,0.161627,0.0669788,0
196,20,20,0.276685,0.163303,0.0330507,0.0868093,21.195,0.161404,0.0674985,0
197,20,20,0.276668,0.163299,0.0330456,0.0868093,21.195,0.161202,0.0693637,0
198,20,20,0.276653,0.163296,0.033041,0.0868093,21.195,0.161023,0.0709307,0
199,20,20,0.276639,0.163293,0.033037,0.0868093,21.195,0.16085,0.0786612,0
200,20,20,0.276661,0.163448,0.0330839,0.0868188,21.195,0.16084,0.0786507,0
201,21,21,0.276559,0.163357,0.0328428,0.0868188,21.195,0.158515,0.0847478,0
202,21,21,0.276529,0.163341,0.0328359,0.0868188,21.195,0.157961,0.081387,0
203,21,21,0.276509,0.163338,0.0328295,0.0868188,21.195,0.157533,0.0755614,0
204,21,21,0.276492,0.163333,0.0328233,0.0868188,21.195,0.157221,0.0722526,0
205,21,21,0.276475,0.163327,0.0328176,0.0868188,21.195,0.156971,0.0728979,0
206,21,21,0.276459,0.163322,0.0328126,0.0868188,21.195,0.156756,0.0724062,0
207,21,21,0.276444,0.163319,0.032808,0.0868188,21.195,0.156572,0.070237,0
208,21,21,0.27643,0.163316,0.0328038,0.0868188,21.195,0.156401,0.0672202,0
209,21,21,0.276419,0.163313,0.0328001,0.0868188,21.195,0.156253,0.0661488,0
210,21,21,0.276445,0.163458,0.032851,0.0868484,21.195,0.156244,0.0661409,0
211,22,22,0.276346,0.163375,0.032631,0.0868484,21.195,0.154049,0.0647533,0
212,22,22,0.276318,0.163364,0.0326277,0.0868484,21.195,0.15358,0.0639029,0
213,22,22,0.276298,0.163363,0.0326232,0.0868484,21.195,0.153235,0.0626418,0
214,22,22,0.276282,0.163359,0.0326179,0.0868484,21.195,0.152968,0.0619626,0
215,22,22,0.276266,0.163354,0.032613,0.0868484,21.195,0.152757,0.0612757,0
216,22,22,0.276252,0.16335,0.0326085,0.0868484,21.195,0.15258,0.0609165,0
217,22,22,0.276238,0.163347,0.0326043,0.0868484,21.195,0.152423,0.0608574,0
218,22,22,0.276226,0.163344,0.0326006,0.0868484,21.195,0.152283,0.0614394,0
219,22,22,0.276216,0.163342,0.0325971,0.0868484,21.195,0.152151,0.0624742,0
220,22,22,0.276244,0.163475,0.0326509,0.0868927,21.195,0.152144,0.0624684,0
221,23,23,0.276152,0.1634,0.0324504,0.0868927,21.195,0.150174,0.0611987,0
222,23,23,0.276122,0.163394,0.0324501,0.0868927,21.195,0.149764,0.0607198,0
223,23,23,0.276104,0.163395,0.0324469,0.0868927,21.195,0.149468,0.0605505,0
224,23,23,0.276088,0.163393,0.0324426,0.0868927,21.195,0.149245,0.0603968,0
225,23,23,0.276074,0.163389,0.0324382,0.0868927,21.195,0.149066,0.0600319,0
226,23,23,0.276061,0.163386,0.0324341,0.0868927,21.195,0.148912,0.060321,0
227,23,23,0.276049,0.163383,0.0324301,0.0868927,21.195,0.148781,0.064427,0
228,23,23,0.276038,0.163381,0.0324265,0.0868927,21.195,0.148662,0.0698233,0
229,23,23,0.276029,0.163379,0.0324231,0.0868927,21.195,0.148557,0.0750414,0
230,23,23,0.276065,0.1635,0.0324798,0.0869499,21.195,0.148552,0.0750378,0
231,24,24,0.275979,0.163433,0.0322971,0.0869499,21.195,0.146793,0.0779344,0
232,24,24,0.27595,0.163433,0.0322987,0.0869499,21.195,0.146426,0.0741775,0
233,24,24,0.275932,0.163436,0.0322962,0.0869499,21.195,0.146173,0.0702682,0
234,24,24,0.275918,0.163435,0.0322921,0.0869499,21.195,0.145989,0.0665157,0
235,24,24,0.275905,0.163432,0.0322881,0.0869499,21.195,0.145841,0.0642059,0
236,24,24,0.275894,0.16343,0.0322841,0.0869499,21.195,0.145713,0.0622783,0
237,24,24,0.275883,0.163428,0.0322804,0.0869499,21.195,0.145603,0.0617849,0
238,24,24,0.275874,0.163426,0.0322768,0.0869499,21.195,0.145502,0.0626922,0
239,24,24,0.275866,0.163424,0.0322735,0.0869499,21.195,0.145414,0.0648046,0
240,24,24,0.275909,0.163531,0.0323341,0.0870182,21.195,0.145411,0.0648027,0
241,25,25,0.275833,0.163472,0.0321682,0.0870182,21.195,0.143849,0.0630552,0
242,25,25,0.275803,0.163476,0.0321712,0.0870182,21.195,0.143559,0.0618753,0
243,25,25,0.275787,0.163482,0.0321691,0.0870182,21.195,0.143359,0.0610453,0
244,25,25,0.275775,0.163482,0.0321655,0.0870182,21.195,0.143204,0.0600172,0
245,25,25,0.275764,0.163481,0.0321614,0.0870182,21.195,0.143079,0.0601475,0
246,25,25,0.275754,0.163479,0.0321575,0.0870182,21.195,0.142975,0.0637449,0
247,25,25,0.275746,0.163478,0.0321535,0.0870182,21.195,0.142887,0.062211,0
248,25,25,0.275738,0.163476,0.0321499,0.0870182,21.195,0.142804,0.0610676,0
249,25,25,0.275731,0.163475,0.0321463,0.0870182,21.195,0.142727,0.0602482,0
250,25,25,0.275778,0.163568,0.0322107,0.0870961,21.195,0.142726,0.0602482,0
251,26,26,0.275708,0.163515,0.0320603,0.0870961,21.195,0.141374,0.0596299,0
252,26,26,0.275682,0.163526,0.0320638,0.0870961,21.195,0.141139,0.058396,0
253,26,26,0.275667,0.163534,0.0320621,0.0870961,21.195,0.14097,0.0620127,0
254,26,26,0.275656,0.163536,0.0320584,0.0870961,21.195,0.140852,0.0687309,0
255,26,26,0.275647,0.163536,0.0320547,0.0870961,21.195,0.140753,0.0683489,0
256,26,26,0.275638,0.163535,0.0320506,0.0870961,21.195,0.140672,0.0658377,0
257,26,26,0.275631,0.163534,0.0320469,0.0870961,21.195,0.1406,0.0631837,0
258,26,26,0.275625,0.163533,0.0320432,0.0870961,21.195,0.140537,0.0610439,0
259,26,26,0.275619,0.163533,0.0320399,0.0870961,21.195,0.140478,0.0613427,0
260,26,26,0.275673,0.163612,0.0321084,0.0871812,21.195,0.140477,0.0613442,0
261,27,27,0.275612,0.163564,0.0319724,0.0871812,21.195,0.139322,0.0595049,0
262,27,27,0.275586,0.16358,0.0319768,0.0871812,21.195,0.139163,0.0584374,0
263,27,27,0.275573,0.16359,0.0319749,0.0871812,21.195,0.139038,0.0599626,0
264,27,27,0.275563,0.163593,0.0319714,0.0871812,21.195,0.138943,0.0615263,0
265,27,27,0.275556,0.163594,0.0319672,0.0871812,21.195,0.138876,0.0607382,0
266,27,27,0.275549,0.163594,0.0319633,0.0871812,21.195,0.138814,0.0596269,0
267,27,27,0.275543,0.163594,0.0319592,0.0871812,21.195,0.138765,0.058305,0
268,27,27,0.275538,0.163593,0.0319555,0.0871812,21.195,0.138716,0.0594372,0
269,27,27,0.275534,0.163593,0.0319515,0.0871812,21.195,0.138678,0.0619829,0
270,27,27,0.27559,0.163659,0.0320236,0.087277,21.195,0.138679,0.0619858,0
271,28,28,0.27554,0.163614,0.031901,0.087277,21.195,0.137718,0.0599998,0
272,28,28,0.275516,0.163634,0.0319051,0.087277,21.195,0.137602,0.0589322,0
273,28,28,0.275504,0.163646,0.0319036,0.087277,21.195,0.137502,0.0574106,0
274,28,28,0.275496,0.16365,0.0319002,0.087277,21.195,0.137435,0.0565315,0
275,28,28,0.27549,0.163652,0.0318965,0.087277,21.195,0.13738,0.0562163,0
276,28,28,0.275485,0.163653,0.0318926,0.087277,21.195,0.137336,0.0562391,0
277,28,28,0.275481,0.163653,0.031889,0.087277,21.195,0.137296,0.056977,0
278,28,28,0.275477,0.163653,0.0318853,0.087277,21.195,0.137261,0.0578323,0
279,28,28,0.275474,0.163653,0.0318821,0.087277,21.195,0.137227,0.057573,0
280,28,28,0.275528,0.163707,0.0319559,0.08737,21.195,0.137228,0.0575762,0
281,29,29,0.275486,0.163664,0.0318475,0.08737,21.195,0.136418,0.057823,0
282,29,29,0.275464,0.163689,0.0318527,0.08737,21.195,0.136352,0.0605105,0
283,29,29,0.275454,0.163702,0.0318516,0.08737,21.195,0.136291,0.0602443,0
284,29,29,0.275447,0.163707,0.0318485,0.08737,21.195,0.136246,0.0595336,0
285,29,29,0.275443,0.163709,0.0318451,0.08737,21.195,0.136214,0.0599414,0
286,29,29,0.275439,0.163711,0.0318415,0.08737,21.195,0.136183,0.0594396,0
287,29,29,0.275435,0.163712,0.0318382,0.08737,21.195,0.136161,0.0582145,0
288,29,29,0.275433,0.163712,0.0318348,0.08737,21.195,0.136138,0.0571393,0
289,29,29,0.275431,0.163712,0.0318317,0.08737,21.195,0.136121,0.0564781,0
290,29,29,0.275483,0.163755,0.0319046,0.0874631,21.195,0.136123,0.0564819,0
291,30,30,0.27545,0.163713,0.0318086,0.0874631,21.195,0.135459,0.0554231,0
292,30,30,0.275432,0.16374,0.0318146,0.0874631,21.195,0.135438,0.0550688,0
293,30,30,0.275422,0.163754,0.0318138,0.0874631,21.195,0.135401,0.0548013,0
294,30,30,0.275416,0.16376,0.0318112,0.0874631,21.195,0.135378,0.055,0
295,30,30,0.275412,0.163762,0.031808,0.0874631,21.195,0.135358,0.0547695,0
296,30,30,0.27541,0.163764,0.0318048,0.0874631,21.195,0.135344,0.055236,0
297,30,30,0.275407,0.163765,0.0318016,0.0874631,21.195,0.135331,0.0567422,0
298,30,30,0.275406,0.163766,0.0317986,0.0874631,21.195,0.135322,0.0572088,0
299,30,30,0.275404,0.163766,0.0317956,0.0874631,21.195,0.135314,0.0564843,0
300,30,30,0.275457,0.1638,0.0318665,0.0875593,21.195,0.135316,0.0564888,0
301,31,31,0.275437,0.163756,0.0317822,0.0875593,21.195,0.134783,0.0554986,0
302,31,31,0.275419,0.163785,0.0317887,0.0875593,21.195,0.134797,0.0550753,0
303,31,31,0.27541,0.163799,0.0317889,0.0875593,21.195,0.134789,0.0554584,0
304,31,31,0.275405,0.163805,0.0317872,0.0875593,21.195,0.13478,0.0557393,0
305,31,31,0.275402,0.163809,0.0317852,0.0875593,21.195,0.134776,0.0555202,0
306,31,31,0.275401,0.163811,0.0317832,0.0875593,21.195,0.134765,0.0549979,0
307,31,31,0.275399,0.163812,0.0317814,0.0875593,21.195,0.134761,0.0546735,0
308,31,31,0.275399,0.163813,0.0317797,0.0875593,21.195,0.134749,0.0545701,0
309,31,31,0.275398,0.163813,0.0317781,0.0875593,21.195,0.134746,0.0546082,0
